,ID,Mac,SSID,Time,Frequncy,Signal,Lat,Lon,Alt
0,model=SM-G950F_device=dreamlte,c0:ac:54:f5:b4:c9,HOTBOX-D88A,12/1/2017 10:42,1,-92,32.17224246,34.81444894,7.777438959
1,model=SM-G950F_device=dreamlte,b4:ee:b4:86:c0:f1,Efrat,12/1/2017 10:43,11,-74,32.17223802,34.81444473,10.58036115
2,model=SM-G950F_device=dreamlte,80:1f:02:f5:d8:e8,angela,12/1/2017 10:43,1,-89,32.17225202,34.81439189,17.18081812
3,model=SM-G950F_device=dreamlte,14:ae:db:cc:ed:6d,KarvatB0.5,12/1/2017 10:43,48,-89,32.17226522,34.81421445,22.81899152
4,model=SM-G950F_device=dreamlte,52:b0:ce:ac:32:98,Bezeq Free GA32E3,12/1/2017 11:07,1,-62,32.17236610094432,34.81364128481511,32.76888541066083
5,model=Lenovo PB2-690Y_device=PB2PRO,a4:2b:b0:ad:2d:34,lellouche,12/1/2017 11:01,5,-82,32.17236392048461,34.813608582564235,40.37390229623365
6,model=SM-G950F_device=dreamlte,6c:b0:ce:ac:32:9b,dobry2016,12/1/2017 10:43,1,-69,32.172395640948345,34.813380228312866,31.256452847008745
7,model=SM-G950F_device=dreamlte,20:0c:c8:1b:a2:48,Mevohot_1,12/1/2017 10:49,6,-70,32.17238485409335,34.813352512692994,36.14795187886894
8,model=SM-G950F_device=dreamlte,80:26:89:0d:4f:84,DIR-825-4f83,12/1/2017 10:43,1,-57,32.172421400149254,34.81313049133499,30.003915935414593
9,model=Lenovo PB2-690Y_device=PB2PRO,74:da:38:14:1f:8d,sellahome_2EX,12/1/2017 10:43,9,-82,32.17241727,34.81315388,44.0
10,model=Lenovo PB2-690Y_device=PB2PRO,60:e3:27:e8:41:e8,Mevohot_3,12/1/2017 10:50,11,-80,32.172370483891484,34.813458476296006,41.71240397675682
11,model=Lenovo PB2-690Y_device=PB2PRO,06:ae:db:ba:1e:85,BezeqFree,12/1/2017 10:50,11,-76,32.17242259345708,34.81307344356245,43.80911080489584
12,model=SM-G950F_device=dreamlte,d8:fb:5e:17:47:f8,sellahome,12/1/2017 10:46,9,-73,32.172429738576774,34.813146964181236,33.321514374321154
13,model=Lenovo PB2-690Y_device=PB2PRO,14:ae:db:c1:ad:7d,shweiger1,12/1/2017 10:43,1,-84,32.17243758,34.81296682,47.0
14,model=Lenovo PB2-690Y_device=PB2PRO,10:0d:7f:80:17:80,ELDAD,12/1/2017 10:43,11,-73,32.17249566624633,34.81268982575226,37.522235893362264
15,model=SM-G950F_device=dreamlte,08:3e:5d:5c:72:5e,Lahav,12/1/2017 11:01,11,-83,32.17236626965812,34.81360487981502,39.03603945161056
16,model=SM-G950F_device=dreamlte,c4:a8:1d:12:7d:4c,Orit,12/1/2017 11:07,6,-57,32.1722766894047,34.81413233751491,38.08922648438019
17,model=Lenovo PB2-690Y_device=PB2PRO,06:ae:db:c1:ad:7d,BezeqFree,12/1/2017 10:43,1,-87,32.17246651,34.81278713,48.0
