Time,ID,Lat,Lon,Alt,WiFi networks,SSID1,MAC1,Frequncy1,Signal1,SSID2,MAC2,Frequncy2,Signal2,SSID3,MAC3,Frequncy3,Signal3,SSID4,MAC4,Frequncy4,Signal4,SSID5,MAC5,Frequncy5,Signal5,SSID6,MAC6,Frequncy6,Signal6,SSID7,MAC7,Frequncy7,Signal7,SSID8,MAC8,Frequncy8,Signal8,SSID9,MAC9,Frequncy9,Signal9,SSID10,MAC10,Frequncy10,Signal10
2017-11-09 14:54:18,GT-N7100,32.1041010114005,35.210677641326,693.831831436445,10,Ariel_University,8c:0c:90:2e:e8:18,6,-70,Ariel_University,1c:b9:c4:15:ed:3c,44,-80,Ariel_University,8c:0c:90:2d:34:38,11,-84,,1c:b9:c4:95:41:77,44,-85,Ariel_University,1c:b9:c4:15:41:7c,44,-85,Ariel_University,1c:b9:c4:16:e8:f8,1,-86,Ariel_University,1c:b9:c4:16:06:bc,36,-86,Ariel_University,1c:b9:c4:15:ed:38,6,-87,Ariel_University,1c:b9:c4:15:41:78,11,-89,Ariel_University,1c:b9:c4:16:06:b8,1,-90
2017-11-09 14:54:27,GT-N7100,32.1040306142341,35.2109497706651,721.065776484445,2,Ariel_University,8c:0c:90:2f:d3:d8,11,-88,Ariel_University,24:79:2a:2b:24:98,1,-93,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:54:29,GT-N7100,32.1040260885451,35.2109290171235,718.89917995447,1,,1c:b9:c4:96:06:b7,36,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:54:35,GT-N7100,32.1040101140465,35.2108332485327,698.664411752736,4,Ariel_University,8c:0c:90:2d:34:38,11,-75,Ariel_University,1c:b9:c4:15:ed:38,6,-79,Ariel_University,24:79:2a:2c:61:6c,36,-86,Ariel_University,24:79:2a:2b:24:9c,36,-88,,,,,,,,,,,,,,,,,,
2017-11-09 14:54:38,GT-N7100,32.1040101140465,35.2108332485327,698.476602680071,2,Ariel_University,24:79:2a:2b:24:98,1,-82,Ariel_University,24:79:2a:2b:bd:88,11,-96,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:54:41,GT-N7100,32.1040287143518,35.2107292839355,700.123839223917,1,Ariel_University,24:79:2a:2c:61:68,6,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:54:44,GT-N7100,32.1040230287943,35.2106893636816,697.61861328225,1,Ariel_University,1c:b9:c4:16:06:b8,1,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:54:49,GT-N7100,32.1039946062907,35.2105969981693,688.327802881855,1,Ariel_University,24:79:2a:2c:5c:18,11,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:54:56,GT-N7100,32.1039292336598,35.2105333201894,688.194659473048,5,Ariel_University,24:79:2a:2c:5c:18,11,-84,Ariel_University,24:79:2a:2b:bd:88,11,-87,Ariel_University,1c:b9:c4:16:06:b8,1,-80,Ariel_University,24:79:2a:2b:07:b8,11,-93,Ariel_University,24:79:2a:2c:5b:d8,1,-95,,,,,,,,,,,,,,,
2017-11-09 14:55:07,GT-N7100,32.1039464068303,35.2103935057855,689.809914659725,6,Ariel_University,1c:b9:c4:16:06:bc,36,-81,Ariel_University,24:79:2a:2b:bd:8c,44,-84,Ariel_University,24:79:2a:2c:5c:1c,36,-84,Ariel_University,24:79:2a:2c:5b:dc,36,-89,Ariel_University,24:79:2a:2b:07:b8,11,-88,Ariel_University,8c:0c:90:2e:16:88,8,-94,,,,,,,,,,,,
2017-11-09 14:55:11,GT-N7100,32.1039522417507,35.210354948716,690.192213636699,4,Ariel_University,24:79:2a:2c:5c:18,11,-77,DIRECT-51-HP DeskJet 3630 series,3c:52:82:ef:d4:52,6,-95,Ariel_University,24:79:2a:2b:07:bc,36,-91,Ariel_University,1c:b9:c4:15:fd:48,1,-93,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:15,GT-N7100,32.1038816091871,35.210284786092,690.414901154911,2,Ariel_University,24:79:2a:2c:5b:d8,1,-87,Ariel_University,1c:b9:c4:16:1d:78,11,-90,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:19,GT-N7100,32.1038394100523,35.2102418799643,690.47627849268,4,Ariel_University,1c:b9:c4:16:06:b8,1,-73,Ariel_University,1c:b9:c4:16:06:bc,36,-75,Ariel_University,1c:b9:c4:16:e5:ac,52,-87,Ariel_University,1c:b9:c4:16:1d:7c,44,-90,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:22,GT-N7100,32.1038159691032,35.2102038130012,690.530126805367,7,Ariel_University,24:79:2a:2b:bd:88,11,-78,Ariel_University,1c:b9:c4:16:06:bc,36,-70,Ariel_University,24:79:2a:2b:07:b8,11,-74,DIRECT-51-HP DeskJet 3630 series,3c:52:82:ef:d4:52,6,-86,HelpDesk,60:e3:27:7b:e0:98,4,-88,Ariel_University,24:79:2a:2b:07:bc,36,-83,Ariel_University,1c:b9:c4:15:1c:b8,1,-93,,,,,,,,,
2017-11-09 14:55:25,GT-N7100,32.1037973804647,35.210175653497,690.745695875605,5,Ariel_University,24:79:2a:2c:5b:d8,1,-81,,1c:b9:c4:96:1d:77,44,-87,,24:79:2a:ab:07:b7,36,-89,DIRECT-8A-HP DeskJet 3630 series,3c:52:82:ef:a4:8b,6,-85,,00:27:22:f3:bb:2b,6,-88,,,,,,,,,,,,,,,
2017-11-09 14:55:29,GT-N7100,32.1037743959058,35.2101401581849,691.118060857032,2,Onicom,c0:4a:00:71:ee:ee,9,-92,DIRECT-61-HP DeskJet 3630 series,30:e1:71:0d:e0:63,6,-93,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:31,GT-N7100,32.1037734140824,35.2101268827786,691.22386087141,2,Ariel_University,1c:b9:c4:16:06:b8,1,-68,,1c:b9:c4:96:06:b7,36,-78,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:33,GT-N7100,32.1037741003393,35.2101166134201,691.423591155292,1,Ariel_University,1c:b9:c4:14:2b:88,6,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:35,GT-N7100,32.1037713835476,35.2101101707401,691.729100825513,1,Ariel_University,1c:b9:c4:16:e5:a8,11,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:37,GT-N7100,32.1037657088656,35.2100917427602,692.052338957987,1,Ariel_University,1c:b9:c4:15:fd:48,1,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:39,GT-N7100,32.1037532587538,35.2100781594308,692.223069754338,2,Ariel_University,1c:b9:c4:15:fd:4c,44,-89,Ariel_University,1c:b9:c4:16:ed:4c,36,-90,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:41,GT-N7100,32.1037351743178,35.2100463976694,692.292151291247,3,,1c:b9:c4:96:06:b7,36,-67,Ariel_University,24:79:2a:2c:5b:d8,1,-76,Ariel_University,1c:b9:c4:16:ed:38,6,-95,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:44,GT-N7100,32.1037214295056,35.2100247228105,692.312015239536,8,DIRECT-51-HP DeskJet 3630 series,3c:52:82:ef:d4:52,6,-81,DIRECT-61-HP DeskJet 3630 series,30:e1:71:0d:e0:63,6,-84,Ariel_University,1c:b9:c4:15:fd:4c,44,-83,Ariel_University,1c:b9:c4:16:ed:4c,36,-84,IT-MNG,1c:b9:c4:15:ed:bc,48,-88,KCG-ADSL,00:1d:aa:81:d8:3c,3,-88,IT-MNG,1c:b9:c4:15:ed:b8,1,-90,Ariel_University,1c:b9:c4:16:ed:48,6,-95,,,,,,
2017-11-09 14:55:46,GT-N7100,32.1037065018067,35.2100043834349,692.262529435311,3,Ariel_University,1c:b9:c4:15:1c:b8,1,-82,Ariel_University,1c:b9:c4:16:ed:48,6,-88,Ariel_University,1c:b9:c4:15:1c:bc,36,-81,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:50,GT-N7100,32.103671422604,35.2099674868845,692.522362745114,3,Ariel_University,1c:b9:c4:16:ed:48,6,-82,,1c:b9:c4:96:ed:47,36,-84,Ariel_University,1c:b9:c4:16:ed:38,6,-85,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:52,GT-N7100,32.1036485938691,35.2099586011249,692.56849668362,2,DIRECT-13-HP DeskJet 3630 series,a0:8c:fd:0a:24:56,6,-88,Ariel_University,1c:b9:c4:12:af:78,11,-85,,,,,,,,,,,,,,,,,,,,,,,,
