WigleWifi-1.4,appRelease=2.25,model=GT-N7100,release=4.4.2,device=t03g,display=Android Revolution HD 31.0 by mike1986,board=smdk4x12,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
00:1a:dd:e3:5e:65,,[ESS],2017-11-02 15:08:09,11,-48,32.1053554090871,35.1978176627701,629.522390226855,96,WIFI
00:1a:dd:e3:5e:64,Wirless-Afikim,[ESS],2017-11-02 15:08:09,11,-48,32.1053554090871,35.1978176627701,629.522390226855,96,WIFI
a0:ab:1b:61:9a:84,apar20,[WPA2-PSK-CCMP][ESS],2017-11-02 15:08:09,9,-91,32.1053554090871,35.1978176627701,629.522390226855,96,WIFI
b0:48:7a:a1:35:b6,virus,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2017-11-02 15:08:09,1,-95,32.1053554090871,35.1978176627701,629.522390226855,96,WIFI
d0:0f:6d:f0:dc:fb,MIS,[WPA2-PSK-CCMP][ESS],2017-11-02 15:08:09,8,-96,32.1053554090871,35.1978176627701,629.522390226855,96,WIFI
c4:12:f5:80:e5:1b,barak,[WPA2-PSK-CCMP][ESS],2017-11-02 15:08:09,1,-94,32.1053554090871,35.1978176627701,629.522390226855,96,WIFI
10:fe:ed:f6:49:0b,GOT,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 15:08:09,1,-99,32.1053554090871,35.1978176627701,629.522390226855,96,WIFI
a4:2b:b0:b0:69:ae,__5G,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 15:08:09,40,-90,32.1053554090871,35.1978176627701,629.522390226855,96,WIFI
a4:2b:b0:b0:69:ac,_______EXT1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 15:08:09,11,-92,32.1053554090871,35.1978176627701,629.522390226855,96,WIFI
90:8d:78:52:89:3d,lior,[WPA2-PSK-CCMP][ESS],2017-11-02 15:08:09,1,-96,32.1053554090871,35.1978176627701,629.522390226855,96,WIFI
6a:8d:78:52:89:3e,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-11-02 15:08:09,1,-96,32.1053554090871,35.1978176627701,629.522390226855,96,WIFI
14:ae:db:52:93:bd,Simba,[WPA2-PSK-CCMP][ESS],2017-11-02 15:08:09,5,-90,32.1053554090871,35.1978176627701,629.522390226855,96,WIFI
20:4e:7f:26:0d:9a,T777,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 15:08:09,11,-90,32.1053554090871,35.1978176627701,629.522390226855,96,WIFI
14:ae:db:4d:da:25,menahem,[WPA2-PSK-CCMP][ESS],2017-11-02 15:08:09,1,-92,32.1053554090871,35.1978176627701,629.522390226855,96,WIFI
14:ae:db:43:cb:fd,BEZEQINT-CBF9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-02 15:08:09,1,-95,32.1053554090871,35.1978176627701,629.522390226855,96,WIFI
06:ae:db:4d:da:25,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-11-02 15:08:09,1,-96,32.1053554090871,35.1978176627701,629.522390226855,96,WIFI
28:2c:b2:0a:b0:78,Marina_bedroom,[WPA2-PSK-CCMP][ESS],2017-11-02 15:08:09,9,-96,32.1053554090871,35.1978176627701,629.522390226855,96,WIFI
42502_22811_5366341,GOLAN T,HSDPA;il,2017-11-02 15:08:09,0,-83,32.1053554090871,35.1978176627701,629.522390226855,96,GSM
b0:48:7a:a1:35:b6,virus,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2017-11-02 15:08:11,1,-85,32.1055531614748,35.1975554378626,595.612468946619,64,WIFI
04:a1:51:df:7f:c2,Bella_2.4_5,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 15:08:11,60,-85,32.1055531614748,35.1975554378626,595.612468946619,64,WIFI
