WigleWifi-1.4,appRelease=2.25,model=GT-N7100,release=4.4.2,device=t03g,display=Android Revolution HD 31.0 by mike1986,board=smdk4x12,brand=samsung,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
7c:b7:33:2e:21:62,HOTBOX-215C,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],03/11/2017 22:31:58,6,-94,32.35247479,34.90382354,25.93525962,16,WIFI
42502_33611_4041627,GOLAN T,HSDPA;il,03/11/2017 22:31:58,0,-87,32.35247479,34.90382354,25.93525962,16,GSM
7c:b7:33:2e:21:62,HOTBOX-215C,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],03/11/2017 22:32:02,6,-89,32.35247479,34.90382354,20.10340753,32,WIFI
c0:ac:54:f8:d8:a8,HOTBOX-0E86,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],03/11/2017 22:32:02,11,-94,32.35247479,34.90382354,20.10340753,32,WIFI
6c:2e:85:fe:ba:ad,HOTBOX-1A32,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],03/11/2017 22:32:02,1,-96,32.35247479,34.90382354,20.10340753,32,WIFI
2c:30:33:dc:68:bf,NETGEAR75,[WPS][ESS],03/11/2017 22:32:02,6,-91,32.35247479,34.90382354,20.10340753,32,WIFI
18:a6:f7:8a:a9:de,NETGEAR75,[WPS][ESS],03/11/2017 22:32:13,6,-93,32.35283459,34.90395144,26.66977896,24,WIFI
2c:30:33:dc:68:bf,NETGEAR75,[WPS][ESS],03/11/2017 22:32:16,6,-83,32.35283459,34.90395144,25.84171053,24,WIFI
94:57:a5:4d:20:10,DIRECT-CC-HP DeskJet 3830 series,[WPA2-PSK-CCMP][WPS][ESS],03/11/2017 22:32:19,6,-94,32.35283459,34.90395144,25.4358568,12,WIFI
