WigleWifi-1.4,appRelease=2.25,model=GT-N7100,release=4.4.2,device=t03g,display=Android Revolution HD 31.0 by mike1986,board=smdk4x12,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
7c:b7:33:2e:21:62,HOTBOX-215C,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-03 22:31:58,6,-94,32.3524747872174,34.9038235353248,25.9352596165059,16,WIFI
42502_33611_4041627,GOLAN T,HSDPA;il,2017-11-03 22:31:58,0,-87,32.3524747872174,34.9038235353248,25.9352596165059,16,GSM
7c:b7:33:2e:21:62,HOTBOX-215C,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-03 22:32:02,6,-89,32.3524747872174,34.9038235353248,20.1034075308015,32,WIFI
c0:ac:54:f8:d8:a8,HOTBOX-0E86,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-03 22:32:02,11,-94,32.3524747872174,34.9038235353248,20.1034075308015,32,WIFI
6c:2e:85:fe:ba:ad,HOTBOX-1A32,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-03 22:32:02,1,-96,32.3524747872174,34.9038235353248,20.1034075308015,32,WIFI
2c:30:33:dc:68:bf,NETGEAR75,[WPS][ESS],2017-11-03 22:32:02,6,-91,32.3524747872174,34.9038235353248,20.1034075308015,32,WIFI
18:a6:f7:8a:a9:de,NETGEAR75,[WPS][ESS],2017-11-03 22:32:13,6,-93,32.352834594609,34.9039514416082,26.6697789648655,24,WIFI
2c:30:33:dc:68:bf,NETGEAR75,[WPS][ESS],2017-11-03 22:32:16,6,-83,32.352834594609,34.9039514416082,25.8417105296184,24,WIFI
94:57:a5:4d:20:10,DIRECT-CC-HP DeskJet 3830 series,[WPA2-PSK-CCMP][WPS][ESS],2017-11-03 22:32:19,6,-94,32.352834594609,34.9039514416082,25.4358568036955,12,WIFI
a4:2b:8c:9c:db:65,alperovich,[WPA2-PSK-CCMP][WPS][ESS],2017-11-03 22:32:31,1,-95,32.3527512455712,34.9038780246912,32.867348917376,12,WIFI
c0:ac:54:f8:d8:a8,HOTBOX-0E86,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-03 22:32:44,11,-81,32.3526149275538,34.9038035262583,33.2021476639713,12,WIFI
b4:ee:b4:8c:cc:67,TRAMP,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-03 22:32:51,1,-85,32.3525408387695,34.9037122418601,33.0260249525551,16,WIFI
c0:ac:54:f8:bc:0e,hotbox 1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-03 22:32:52,1,-94,32.3525306217817,34.9036902265312,33.0866312662889,16,WIFI
c0:ac:54:f8:bc:0e,hotbox 1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-03 22:32:54,1,-83,32.3525092583893,34.9036390950766,33.3176883231539,24,WIFI
1c:af:f7:77:64:75,asaf,[WPA2-PSK-CCMP][ESS],2017-11-03 22:32:54,6,-93,32.3525092583893,34.9036390950766,33.3176883231539,24,WIFI
14:ae:db:43:ef:cd,shelef,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-03 22:32:57,6,-91,32.3524937815733,34.9035265898912,34.0008019984982,16,WIFI
42502_33611_4040068,GOLAN T,HSDPA;il,2017-11-03 22:32:57,0,-93,32.3524937815733,34.9035265898912,34.0008019984982,16,GSM
42502_33611_4041629,GOLAN T,HSDPA;il,2017-11-03 22:33:05,0,-97,32.3522337174546,34.9030999319122,38.1077915344457,12,GSM
00:18:25:17:1f:d0,kfar yedidia 3,[WPA2-PSK-CCMP][ESS],2017-11-03 22:33:08,1,-90,32.351979833278,34.9030207529088,41.7082858923362,24,WIFI
54:64:d9:5f:70:a3,Isreali,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-03 22:33:08,1,-95,32.351979833278,34.9030207529088,41.7082858923362,24,WIFI
5c:d9:98:63:5a:d2,DLINK,[WPA2-PSK-CCMP+TKIP][ESS],2017-11-03 22:33:08,1,-97,32.351979833278,34.9030207529088,41.7082858923362,24,WIFI
c4:12:f5:f9:0c:5e,edna,[WPA2-PSK-CCMP][ESS],2017-11-03 22:33:14,1,-83,32.3514041110675,34.9027642244614,40.9913580216736,16,WIFI
30:b5:c2:ea:00:2a,Rdevries,[WPA2-PSK-CCMP][WPS][ESS],2017-11-03 22:33:14,1,-92,32.3514041110675,34.9027642244614,40.9913580216736,16,WIFI
b4:ee:b4:fe:3c:ba,HOTFiber-D313,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-03 22:33:17,11,-87,32.3511711525027,34.902632378141,39.5080485816893,12,WIFI
42502_33611_4041629,GOLAN T,HSDPA;il,2017-11-03 22:33:17,0,-91,32.3511711525027,34.902632378141,39.5080485816893,12,GSM
42502_33611_4041629,GOLAN T,HSDPA;il,2017-11-03 22:33:36,0,-85,32.3509188399826,34.9025549882606,38.9013565747011,24,GSM
fa:8f:ca:51:9d:7a,,[ESS],2017-11-03 22:33:39,11,-93,32.3508149870719,34.902840479185,39.3623913317692,24,WIFI
42502_33611_4041629,GOLAN T,HSDPA;il,2017-11-03 22:33:45,0,-79,32.3505545333111,34.9036164754295,37.8216377657197,12,GSM
42502_33611_4041629,GOLAN T,HSDPA;il,2017-11-03 22:33:54,0,-71,32.3502762656377,34.9049342227838,27.066096438021,12,GSM
42502_33611_4061632,GOLAN T,HSDPA;il,2017-11-03 22:34:00,0,-69,32.3502835237173,34.9058505705526,23.9608944342398,12,GSM
42502_33611_4061635,GOLAN T,HSDPA;il,2017-11-03 22:34:12,0,-65,32.3506498195036,34.9067299926604,23.2474427503863,12,GSM
42502_33611_4041627,GOLAN T,HSDPA;il,2017-11-03 22:34:18,0,-69,32.3508593972619,34.9069747635346,24.318432693012,16,GSM
42502_33611_4040068,GOLAN T,HSDPA;il,2017-11-03 22:34:31,0,-77,32.3505243235919,34.9079575435081,24.8476215536479,24,GSM
42502_33611_4041627,GOLAN T,HSDPA;il,2017-11-03 22:34:34,0,-75,32.3502765057663,34.9080276483327,20.326498467575,24,GSM
42502_33611_4041628,GOLAN T,HSDPA;il,2017-11-03 22:34:40,0,-77,32.3495899481657,34.9081416127736,21.4866015716657,16,GSM
42502_33611_4040068,GOLAN T,HSDPA;il,2017-11-03 22:34:43,0,-79,32.3491672836422,34.9081378944384,23.6698256017509,12,GSM
42502_33611_4040068,GOLAN T,HSDPA;il,2017-11-03 22:34:52,0,-73,32.3477178045267,34.9081362125103,34.3906917704071,8,GSM
